fuzzy_val,num_seeds,sigma,dice_score
0.41965517241379313,2,3.0,0.7422680412371134
0.48793103448275865,3,4.5,0.8435374149659864
0.5903448275862069,3,3.5,0.8292682926829268
0.4537931034482759,4,2.0,0.8608695652173913
0.41965517241379313,4,2.5,0.7905405405405406
0.3513793103448276,6,2.0,0.7707808564231738
0.7268965517241379,11,4.0,0.8374233128834356
0.24896551724137933,11,2.0,0.8610086100861009
0.4537931034482759,11,3.5,0.8997867803837953
0.21482758620689657,11,2.5,0.9201101928374655
0.14655172413793105,9,2.0,0.9112519809825673
0.14655172413793105,11,2.0,0.9119541875447388
0.24896551724137933,11,3.5,0.9143258426966292
0.14655172413793105,10,2.0,0.9153567110036276
0.1806896551724138,11,2.0,0.9265212399540758
0.1806896551724138,10,2.0,0.9365853658536586
0.1806896551724138,10,2.0,0.9333333333333333
0.1806896551724138,10,2.0,0.9134438305709024
0.14655172413793105,7,2.0,0.903578947368421
0.1806896551724138,9,2.0,0.8889799262597297
0.14655172413793105,7,2.0,0.8984496124031007
0.14655172413793105,6,2.0,0.9026354319180088
0.1806896551724138,7,2.5,0.899299151604574
0.21482758620689657,11,4.5,0.9140939597315436
0.1806896551724138,5,3.0,0.8760213143872113
0.1806896551724138,10,2.0,0.8988458927359131
0.14655172413793105,6,2.0,0.9117348664186675
0.11241379310344828,4,2.0,0.9424019607843137
0.14655172413793105,7,3.0,0.9017964071856287
0.11241379310344828,7,2.0,0.8857395925597874
0.1806896551724138,11,3.5,0.8964896489648965
0.1806896551724138,8,2.5,0.8784581908610507
0.14655172413793105,11,2.0,0.8691341705221415
0.21482758620689657,9,3.0,0.8304015930965815
0.2831034482758621,9,5.0,0.8101619207146845
0.31724137931034485,9,5.0,0.8718655276935795
0.1806896551724138,9,3.0,0.8986392668703138
0.14655172413793105,11,2.5,0.8849912302681032
0.31724137931034485,9,5.0,0.8856349406715476
0.31724137931034485,9,5.0,0.8881578947368421
0.24896551724137933,10,5.0,0.8803716608594657
0.24896551724137933,11,5.0,0.8525671219971738
0.14655172413793105,9,2.5,0.80625
0.24896551724137933,10,5.0,0.8194805194805195
0.14655172413793105,10,2.5,0.8587386548754945
0.1806896551724138,9,4.0,0.8418652849740933
0.24896551724137933,11,5.0,0.8798336798336799
0.24896551724137933,11,5.0,0.8599197126558208
0.24896551724137933,10,5.0,0.8543298277019468
0.2831034482758621,11,5.0,0.860176191551841
0.24896551724137933,11,4.5,0.8365824308062575
0.14655172413793105,11,2.5,0.8637506284565108
0.21482758620689657,11,3.5,0.8439506172839506
0.2831034482758621,10,4.5,0.8045793397231097
0.2831034482758621,6,4.5,0.8409034499875899
0.31724137931034485,9,4.5,0.839
0.31724137931034485,10,4.5,0.8644338118022329
0.31724137931034485,10,4.5,0.8671721426565572
0.14655172413793105,9,2.0,0.8745179471966775
0.24896551724137933,10,4.0,0.8606060606060606
0.14655172413793105,11,2.0,0.8460851443882108
0.31724137931034485,11,5.0,0.8518179040635503
0.11241379310344828,10,2.0,0.8947368421052632
0.11241379310344828,9,2.0,0.8803258145363408
0.24896551724137933,11,4.0,0.8471737613398465
0.11241379310344828,7,2.0,0.8562874251497006
0.21482758620689657,6,3.5,0.8616150836001423
0.14655172413793105,10,2.0,0.9110032362459547
0.21482758620689657,10,2.5,0.8876548483554036
0.21482758620689657,10,2.5,0.8908845981140547
0.1806896551724138,11,2.0,0.8824343015214384
0.31724137931034485,11,4.0,0.8076433121019109
0.31724137931034485,11,4.5,0.8171806167400881
0.31724137931034485,9,4.5,0.8227699530516432
0.24896551724137933,11,2.0,0.8243064729194187
0.4537931034482759,10,4.5,0.8363116511794139
0.5562068965517242,11,5.0,0.8406015037593985
0.48793103448275865,10,4.0,0.8353609083536091
0.21482758620689657,8,2.0,0.8469387755102041
0.21482758620689657,9,2.0,0.8527827648114902
0.31724137931034485,7,2.0,0.8604407135362014
0.3513793103448276,7,2.0,0.8514412416851441
0.7610344827586207,10,3.0,0.8711340206185567
0.8293103448275863,11,2.0,0.8904899135446686
0.6927586206896552,9,3.0,0.8976897689768977
0.6927586206896552,7,2.5,0.806378132118451
0.41965517241379313,2,2.0,0.7947882736156352
0.7951724137931035,4,2.0,0.797752808988764
